Event_ID,Candidate_ID,Candidate_Email,Recruiter_ID,Recruiter_Email,Day,Scheduled_Time_Slot,Outcome
34,34,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
35,35,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
36,36,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
37,37,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
38,38,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
39,39,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
40,40,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
41,41,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
42,42,prakhararora60@gmail.com,R10,prakhararora886@gmail.com,Monday,13:30-14:00,Confirmed
43,43,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
44,44,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
45,45,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
46,46,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
47,47,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
48,48,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
49,49,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
50,50,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,14:00-14:30,Confirmed
51,51,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
52,52,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
53,53,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
54,54,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
55,55,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
56,56,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
57,57,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
58,58,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
59,59,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
60,60,prakhararora60@gmail.com,R10,prakhararora886@gmail.com,Monday,15:00-15:30,Confirmed
61,61,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,15:30-16:00,Confirmed
62,62,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,15:30-16:00,Confirmed
63,63,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,15:30-16:00,Confirmed
64,64,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,15:30-16:00,Confirmed
65,65,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,15:30-16:00,Confirmed
66,66,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,15:30-16:00,Confirmed
67,67,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,15:30-16:00,Confirmed
68,68,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
69,69,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
70,70,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
71,71,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Thursday,15:00-15:30,Confirmed
72,72,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
73,73,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
74,74,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
75,75,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
76,76,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
77,77,prakhararora60@gmail.com,R10,prakhararora886@gmail.com,Monday,16:00-16:30,Confirmed
78,78,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
79,79,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
80,80,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
81,81,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
82,82,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
83,83,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
84,84,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
85,85,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
86,86,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,16:30-17:00,Confirmed
87,87,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Tuesday,10:30-11:00,Confirmed
88,88,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Tuesday,10:30-11:00,Confirmed
89,89,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Tuesday,10:30-11:00,Confirmed
90,90,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Thursday,15:00-15:30,Confirmed
91,91,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Tuesday,10:30-11:00,Confirmed
92,92,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Tuesday,10:30-11:00,Confirmed
93,93,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Tuesday,10:30-11:00,Confirmed
94,94,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Tuesday,11:00-11:30,Confirmed
95,95,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Tuesday,11:00-11:30,Confirmed
96,96,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Tuesday,11:00-11:30,Confirmed
97,97,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Tuesday,11:00-11:30,Confirmed
98,98,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Tuesday,11:00-11:30,Confirmed
99,99,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Tuesday,11:00-11:30,Confirmed
100,100,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Tuesday,11:00-11:30,Confirmed
